invoice_date,dm_d_code,supplier_name,supplier_description,unit_cost_gbp,pack_size,invoice_pack_size,min_unit_cost,avg_unit_cost
2026-04-10,12140411000001101,AAH,Ramipril 5mg capsules (Alt Dose),0.91,28,28,0.87,0.91
2026-04-10,15152011000001109,AAH,Sertraline 50mg tablets (Alt Dose) (Alt Dose),1.12,28,28,1.06,1.12
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose) (Alt Dose) (Alt Dose),0.75,28,28,0.72,0.75
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose) (Alt Dose) (Alt Dose),0.81,28,28,0.77,0.81
2026-04-10,15456111000001106,AAH,Mirtazapine 30mg tablets (Alt Dose) (Alt Dose),2.8,28,28,2.66,2.8
2026-04-10,14389111000001108,AAH,Clopidogrel 75mg tablets (Alt Dose) (Alt Dose),1.08,28,28,1.02,1.08
2026-04-10,1182211000001108,AAH,Aspirin 75mg dispersible tablets (Alt Dose) (Alt Dose),0.6,28,28,0.57,0.6
2026-04-10,14389111000001108,AAH,Clopidogrel 75mg tablets (Alt Dose) (Alt Dose) (Alt Dose),1.03,28,28,0.98,1.03
2026-04-10,1261511000001107,AAH,Furosemide 40mg tablets (Alt Dose),0.69,28,28,0.65,0.69
2026-04-10,15132111000001106,AAH,Losartan 50mg tablets (Alt Dose) (Alt Dose),1.09,28,28,1.03,1.09
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose) (Alt Dose) (Alt Dose) (Alt Dose),0.82,28,28,0.78,0.82
2026-04-10,13768511000001107,AAH,Lansoprazole 30mg gastro-resistant capsules (Alt Dose) (Alt Dose),0.87,28,28,0.83,0.87
2026-04-10,12140411000001101,AAH,Ramipril 5mg capsules (Alt Dose),0.83,28,28,0.79,0.83
2026-04-10,13768511000001107,AAH,Lansoprazole 30mg gastro-resistant capsules (Alt Dose) (Alt Dose) (Alt Dose),0.86,28,28,0.82,0.86
2026-04-10,12140411000001101,AAH,Ramipril 5mg capsules (Alt Dose),0.94,28,28,0.89,0.94
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets (Alt Dose) (Alt Dose) (Alt Dose),0.88,28,28,0.83,0.88
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets (Alt Dose) (Alt Dose) (Alt Dose),0.61,28,28,0.58,0.61
2026-04-10,15456111000001106,AAH,Mirtazapine 30mg tablets (Alt Dose) (Alt Dose) (Alt Dose),2.96,28,28,2.81,2.96
2026-04-10,14588111000001105,AAH,Citalopram 20mg tablets (Alt Dose),1.08,28,28,1.02,1.08
2026-04-10,14588111000001105,AAH,Citalopram 20mg tablets (Alt Dose) (Alt Dose),0.95,28,28,0.9,0.95
